Base,MD,FY,Manpower_Ops,Manpower_Mx,Manpower_Support_Staff,Operating_Material,Mx_Consumables,Mx_DLR,Mx_Depot_AC,Mx_Depot_Missile,Mx_Depot_Engine,CLS,Total_O.S,Avg_Inv,TAI,End_Strength,FH
ALTUS AFB (OK),A-10,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,73,NA
ALTUS AFB (OK),A-10,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,21,NA
ALTUS AFB (OK),AT-38,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),AT-38,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),C-130,1998,NA,NA,NA,NA,NA,NA,NA,NA,158852,NA,158852,NA,NA,NA,NA
ALTUS AFB (OK),C-130,1999,NA,NA,NA,NA,NA,NA,NA,NA,110326,NA,110326,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2000,NA,NA,NA,NA,NA,NA,NA,NA,166360,NA,166360,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2002,NA,NA,NA,NA,NA,NA,NA,NA,737,NA,737,NA,NA,12,NA
ALTUS AFB (OK),C-130,2003,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,480,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2004,NA,19912,NA,NA,NA,NA,NA,NA,3202,NA,23114,NA,NA,1,NA
ALTUS AFB (OK),C-130,2005,NA,NA,NA,NA,NA,NA,NA,NA,18459,NA,18459,NA,NA,NA,NA
ALTUS AFB (OK),C-130,2006,NA,NA,NA,NA,NA,NA,NA,NA,29456,NA,29456,NA,NA,NA,NA
ALTUS AFB (OK),C-135,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,NA,NA,NA
ALTUS AFB (OK),C-135,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,NA,NA,NA,NA
ALTUS AFB (OK),C-141,1996,2336113,19801569,2408943,72505034,7433237,21621755,47527,NA,NA,NA,127772282,14,14,618,9093
ALTUS AFB (OK),C-141,1997,2017255,17502317,1964385,48414551,6530480,19435720,2364,NA,NA,NA,97560571,14,14,448,6230
ALTUS AFB (OK),C-141,1998,1715252,17367041,1615991,49878645,7314878,21843584,14342,NA,NA,NA,101779554,13,14,412,6473
ALTUS AFB (OK),C-141,1999,1513380,16730204,1562751,43311714,4807570,16511425,48574,NA,NA,NA,86576751,12,12,386,5401
ALTUS AFB (OK),C-141,2000,1621977,16846300,1476506,42240403,4619311,10725495,24236,NA,NA,NA,79492907,11,11,374,4919
ALTUS AFB (OK),C-141,2001,1299186,12715698,975906,18789148,1603659,5280151,NA,NA,NA,NA,42164661,8,6,272,2099
ALTUS AFB (OK),C-141,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA
ALTUS AFB (OK),C-17,1996,129784,1029315,133830,6333203,NA,-790,NA,NA,NA,NA,7715236,1,1,34,598
ALTUS AFB (OK),C-17,1997,770225,1949627,750038,35183648,NA,874,NA,NA,NA,NA,39274611,5,5,171,3406
ALTUS AFB (OK),C-17,1998,1029151,1941299,969594,53457945,NA,154898,NA,NA,NA,606279,59318888,8,8,247,5208
ALTUS AFB (OK),C-17,1999,957444,1767279,988679,72528121,NA,66054,NA,NA,NA,NA,77574826,8,8,244,7070
ALTUS AFB (OK),C-17,2000,1261538,2062617,1148393,74609420,NA,1602,NA,NA,NA,NA,80537345,9,8,291,6818
ALTUS AFB (OK),C-17,2001,1339786,1853689,1006403,77730174,NA,2545,NA,NA,NA,NA,83400703,8,8,280,7394
ALTUS AFB (OK),C-17,2002,2194739,1131649,1436401,82868458,NA,104,NA,NA,NA,NA,89754140,10,9,342,8313
ALTUS AFB (OK),C-17,2003,2082394,75686,1610303,97348647,NA,1130,NA,NA,NA,NA,103801558,10,10,360,9534
ALTUS AFB (OK),C-17,2004,2077914,51336,1626212,95149341,NA,992,NA,NA,NA,NA,100793967,11,10,389,9313
ALTUS AFB (OK),C-17,2005,2343818,131284,1803498,104098446,NA,NA,NA,NA,NA,NA,110644086,12,11,424,10175
ALTUS AFB (OK),C-17,2006,2558658,88389,1640093,111103473,NA,NA,NA,NA,NA,NA,117577083,13,13,422,11293
ALTUS AFB (OK),C-17,2007,2852700,80832,1689258,112562244,NA,NA,NA,NA,NA,NA,119763719,14,15,454,11422
ALTUS AFB (OK),C-17,2008,2710126,14576156,2369739,122645155,2247891,1177048,NA,NA,NA,NA,148528160,15,15,460,12395
ALTUS AFB (OK),C-17,2009,2612702,12883171,3230549,118446552,1887902,963078,NA,NA,NA,NA,143233399,14,15,450,12124
ALTUS AFB (OK),C-17,2010,2329097,12148090,3326109,118138370,1823484,1198122,NA,NA,NA,NA,141971560,14,15,427,12491
ALTUS AFB (OK),C-17,2011,2603802,11625656,4377557,122211073,2232696,1034887,NA,NA,NA,NA,146267472,15,15,457,12594
ALTUS AFB (OK),C-17,2012,2481596,11239883,3999705,111966140,2185872,1290516,NA,NA,NA,NA,134082705,16,18,433,11518
ALTUS AFB (OK),C-17,2013,2706312,11029508,3706041,113908472,1987950,-1495040,NA,NA,NA,NA,132354537,15,17,472,10997
ALTUS AFB (OK),C-17,2014,3155826,12266384,4364602,109230168,2000863,902787,NA,NA,NA,NA,132879607,16,17,531,9751
ALTUS AFB (OK),C-5,1996,1773716,15034525,1829012,50641389,3241631,9170020,249956,NA,166657,NA,83335466,10,8,469,3858
ALTUS AFB (OK),C-5,1997,1320385,11456062,1285779,39209749,3271135,9571927,43298,NA,60369,NA,67327177,9,8,294,3068
ALTUS AFB (OK),C-5,1998,1132066,11462247,1066554,40976510,3753918,11066302,30637,NA,48699,NA,70876614,8,8,272,3268
ALTUS AFB (OK),C-5,1999,1019215,11267280,1052465,40324533,2759783,9441327,61689,NA,87394,NA,67422001,8,8,260,3085
ALTUS AFB (OK),C-5,2000,1045274,10856504,951526,37924834,2812203,6522409,155936,NA,10696,NA,61528752,7,8,241,2992
ALTUS AFB (OK),C-5,2001,1177388,11523601,884415,34783783,2133346,7061272,58028,NA,83165,NA,59065201,7,8,246,2808
ALTUS AFB (OK),C-5,2002,1688261,13925130,1104924,36747654,2324437,7144412,67127,NA,138152,NA,64871532,8,8,264,3059
ALTUS AFB (OK),C-5,2003,1655236,14548332,1279984,37889902,2514921,6131541,NA,NA,NA,NA,66246334,8,8,286,2986
ALTUS AFB (OK),C-5,2004,1605661,15880568,1256619,36710730,2090552,6004456,120897,NA,97922,NA,65327401,9,8,301,3014
ALTUS AFB (OK),C-5,2005,1387158,14248754,1067377,35719323,2526993,4900229,61410,NA,95903,NA,61450551,7,8,251,2932
ALTUS AFB (OK),C-5,2006,1377739,13639454,883127,36688987,2025120,5173988,218738,NA,255460,NA,61488409,7,8,227,3038
ALTUS AFB (OK),C-5,2007,764116,7444699,452480,13905974,798756,1582628,NA,NA,NA,NA,25639372,4,4,122,1089
ALTUS AFB (OK),C-5,2008,NA,5132274,1484448,NA,NA,NA,NA,NA,NA,NA,6616722,NA,NA,NA,NA
ALTUS AFB (OK),C-5,2009,NA,4871205,1534890,NA,NA,NA,NA,NA,NA,NA,6406095,NA,NA,NA,NA
ALTUS AFB (OK),C-5,2010,NA,4951799,1513220,NA,NA,NA,NA,NA,NA,NA,6465019,NA,NA,NA,NA
ALTUS AFB (OK),C-5,2011,NA,4823381,1587082,NA,NA,NA,NA,NA,NA,NA,6410463,NA,NA,NA,NA
ALTUS AFB (OK),C-5,2012,NA,4279627,1576614,NA,NA,NA,NA,NA,NA,NA,5856241,NA,NA,NA,NA
ALTUS AFB (OK),C-5,2013,NA,3598319,1383174,NA,NA,NA,NA,NA,NA,NA,4981493,NA,NA,NA,NA
ALTUS AFB (OK),C-5,2014,NA,2654381,929030,NA,NA,NA,NA,NA,NA,NA,3583411,NA,NA,NA,NA
ALTUS AFB (OK),E-3,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,NA
ALTUS AFB (OK),E-3,2004,NA,31432,NA,NA,NA,NA,NA,NA,NA,NA,31432,NA,NA,2,NA
ALTUS AFB (OK),EC-130,2004,NA,587,NA,NA,NA,NA,NA,NA,NA,NA,587,NA,NA,NA,NA
ALTUS AFB (OK),F-15,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),F-15,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),F-16,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA
ALTUS AFB (OK),GC-141,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,1996,NA,NA,NA,NA,NA,NA,NA,NA,44534,NA,44534,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,1997,NA,NA,NA,NA,NA,NA,NA,NA,940,NA,940,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,2000,NA,NA,NA,NA,NA,NA,NA,NA,956,NA,956,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,2002,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,35,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,2003,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,36,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,2004,NA,482,NA,NA,NA,NA,NA,NA,377,NA,859,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,2005,NA,NA,NA,NA,NA,NA,NA,NA,2098,NA,2098,NA,NA,NA,NA
ALTUS AFB (OK),HC-130,2006,NA,NA,NA,NA,NA,NA,NA,NA,2925,NA,2925,NA,NA,NA,NA
ALTUS AFB (OK),KC-135,1996,4196351,35569486,4415484,79950468,11997894,34753248,85372,NA,NA,NA,173874897,24,24,1110,14616
ALTUS AFB (OK),KC-135,1997,3667737,31822394,3571609,73111375,14058819,42197265,4297,NA,NA,NA,171512587,25,24,815,13527
ALTUS AFB (OK),KC-135,1998,3258979,32997379,3070382,74728937,15422614,46258617,27250,NA,NA,NA,179620816,24,24,783,13726
ALTUS AFB (OK),KC-135,1999,2995875,33118976,3093609,75784574,12091769,41728318,96157,NA,NA,NA,173048868,24,24,764,13669
ALTUS AFB (OK),KC-135,2000,3316042,34441325,3018634,76028773,12414075,28953758,49550,NA,NA,NA,162185679,23,24,764,13280
ALTUS AFB (OK),KC-135,2001,3897559,38147093,2927717,76723034,9689397,32169060,NA,NA,NA,NA,168056599,24,24,815,12792
ALTUS AFB (OK),KC-135,2002,5571260,45952929,3646249,73744451,9909330,30589029,NA,NA,NA,NA,175126983,25,24,882,13095
ALTUS AFB (OK),KC-135,2003,5286078,46460801,4087692,74062302,10939172,26836008,NA,NA,NA,NA,174782225,25,24,915,13067
ALTUS AFB (OK),KC-135,2004,4722531,46735493,3699430,74952694,9208757,26543582,NA,NA,NA,NA,170450709,25,24,886,13324
ALTUS AFB (OK),KC-135,2005,4544137,46676952,3496579,82066434,12375751,24099172,NA,NA,NA,NA,177987419,24,24,822,14419
ALTUS AFB (OK),KC-135,2006,4674471,46276720,2996324,83152832,9494887,24363365,NA,NA,NA,NA,175117549,24,24,770,14307
ALTUS AFB (OK),KC-135,2007,4941284,48142388,2926036,75579625,9647077,19281556,NA,NA,NA,NA,164984616,24,24,786,13270
ALTUS AFB (OK),KC-135,2008,4579179,32532415,4051803,66146591,6365138,9915785,NA,NA,NA,NA,128053733,25,24,778,11847
ALTUS AFB (OK),KC-135,2009,4402886,33759019,5495237,50118079,5583044,9239403,NA,NA,NA,NA,113977434,23,24,758,8656
ALTUS AFB (OK),KC-135,2010,3867964,33374583,5478319,42550942,5366363,8497100,NA,NA,NA,NA,103906643,23,24,710,7728
ALTUS AFB (OK),KC-135,2011,3670935,30990675,5547334,39660080,4871647,9008904,NA,NA,NA,NA,96729827,22,23,644,7274
ALTUS AFB (OK),KC-135,2012,3540002,29695244,5174791,38948962,5111455,7109892,NA,NA,NA,NA,90648431,22,23,612,7093
ALTUS AFB (OK),KC-135,2013,3570039,30306060,4228998,36707418,4421743,7445740,NA,NA,NA,NA,87292153,19,21,607,6835
ALTUS AFB (OK),KC-135,2014,3382583,33202217,4319259,34876749,5317669,9456195,NA,NA,NA,NA,91549575,18,19,581,6367
ALTUS AFB (OK),LC-130,2004,NA,671,NA,NA,NA,NA,NA,NA,NA,NA,671,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,1996,NA,NA,NA,NA,NA,NA,NA,NA,85020,NA,85020,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,1997,NA,NA,NA,NA,NA,NA,NA,NA,8770,NA,8770,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,1998,NA,NA,NA,NA,NA,NA,NA,NA,32341,NA,32341,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,1999,NA,NA,NA,NA,NA,NA,NA,NA,20118,NA,20118,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,2000,NA,NA,NA,NA,NA,NA,NA,NA,24858,NA,24858,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,2002,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,127,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,2003,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,84,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,2004,NA,NA,NA,NA,NA,NA,NA,NA,659,NA,659,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,2005,NA,NA,NA,NA,NA,NA,NA,NA,3356,NA,3356,NA,NA,NA,NA
ALTUS AFB (OK),MC-130,2006,NA,NA,NA,NA,NA,NA,NA,NA,5849,NA,5849,NA,NA,NA,NA
ALTUS AFB (OK),OC-135,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA
ALTUS AFB (OK),OC-135,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,NA,NA,NA,NA
ALTUS AFB (OK),T-1,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-1,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-37,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-37,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-37,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-38,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-38,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-38,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),T-6,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ALTUS AFB (OK),WC-130,2004,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA
ALTUS AFB (OK),WC-130,2005,NA,NA,NA,NA,NA,NA,NA,NA,559,NA,559,NA,NA,NA,NA
ALTUS AFB (OK),WC-130,2006,NA,NA,NA,NA,NA,NA,NA,NA,1671,NA,1671,NA,NA,NA,NA
ALTUS AFB (OK),AIRCOM,1996,NA,NA,1489525,NA,NA,NA,NA,NA,NA,NA,1515161,NA,NA,25,NA
ALTUS AFB (OK),AIRCOM,1997,NA,NA,1389858,915,NA,NA,NA,NA,NA,NA,1445429,NA,NA,23,NA
ALTUS AFB (OK),AIRCOM,1998,NA,NA,223323,NA,NA,NA,NA,NA,NA,NA,339601,NA,NA,3,NA
ALTUS AFB (OK),AIRCOM,1999,NA,NA,NA,7775,NA,NA,NA,NA,NA,NA,104689,NA,NA,NA,NA
ALTUS AFB (OK),ATCALS,1996,3847024,NA,1256596,12784,64169,188704,NA,NA,NA,NA,5379427,NA,NA,73,NA
ALTUS AFB (OK),ATCALS,1997,3911908,NA,1089989,69754,89651,94645,NA,NA,NA,NA,5375369,NA,NA,71,NA
ALTUS AFB (OK),ATCALS,1998,4470184,NA,1079771,55516,57895,1140051,NA,NA,NA,NA,6914781,NA,NA,77,NA
ALTUS AFB (OK),ATCALS,1999,4683802,NA,886895,71869,124139,366574,NA,NA,NA,NA,6199069,NA,NA,79,NA
ALTUS AFB (OK),ATCALS,2000,3598502,NA,1001776,146413,132538,134113,NA,NA,NA,NA,5146206,NA,NA,72,NA
ALTUS AFB (OK),ATCALS,2001,4654503,NA,1373503,97861,63358,1031916,NA,NA,NA,NA,7252213,NA,NA,93,NA
ALTUS AFB (OK),ATCALS,2002,4944684,77629,1612735,73509,47839,433329,NA,NA,NA,NA,7293437,NA,NA,99,NA
ALTUS AFB (OK),ATCALS,2003,6741471,42221,1619220,73659,47212,263956,NA,NA,NA,NA,8934609,NA,NA,116,NA
ALTUS AFB (OK),ATCALS,2004,7758426,NA,2027978,42820,82090,356901,NA,NA,NA,NA,10338541,NA,NA,134,NA
ALTUS AFB (OK),ATCALS,2005,7131098,NA,1994264,75292,77472,261938,NA,NA,NA,NA,9663453,NA,NA,125,NA
ALTUS AFB (OK),ATCALS,2006,6003490,NA,1960576,89592,49971,238724,NA,NA,NA,NA,8396831,NA,NA,107,NA
ALTUS AFB (OK),ATCALS,2007,5103339,NA,2603640,69918,37379,205802,NA,NA,NA,NA,8106670,NA,NA,107,NA
ALTUS AFB (OK),ATCALS,2008,3678023,NA,2400550,96923,36863,265378,NA,NA,NA,NA,6608936,NA,NA,83,NA
ALTUS AFB (OK),ATCALS,2009,3923678,NA,2373609,195637,15233,168986,NA,NA,NA,NA,6719563,NA,NA,80,NA
ALTUS AFB (OK),ATCALS,2010,4508821,NA,2435493,82879,89920,188988,NA,NA,NA,NA,7363629,NA,NA,89,NA
ALTUS AFB (OK),ATCALS,2011,5262332,NA,2899367,223261,34135,123875,NA,NA,NA,50542,8831234,NA,NA,106,NA
ALTUS AFB (OK),ATCALS,2012,6247362,NA,2256253,137789,16681,-8207,NA,NA,NA,NA,8764902,NA,NA,112,NA
ALTUS AFB (OK),ATCALS,2013,5805708,NA,2006881,74292,21301,129256,NA,NA,NA,NA,8045160,NA,NA,107,NA
ALTUS AFB (OK),ATCALS,2014,6248581,NA,2036949,137493,8690,127792,NA,NA,NA,NA,8560799,NA,NA,112,NA
ALTUS AFB (OK),CBRNE DEFENSE,1996,215409,NA,99185,NA,11995,NA,NA,NA,NA,NA,326580,NA,NA,11,NA
ALTUS AFB (OK),CBRNE DEFENSE,1997,191342,NA,79557,NA,4121,NA,NA,NA,NA,NA,275020,NA,NA,9,NA
ALTUS AFB (OK),CBRNE DEFENSE,1998,39793,NA,672224,NA,55115,NA,NA,NA,NA,NA,768619,NA,NA,17,NA
ALTUS AFB (OK),CBRNE DEFENSE,1999,NA,NA,1381817,NA,20306,2435,NA,NA,NA,NA,1412167,NA,NA,30,NA
ALTUS AFB (OK),CBRNE DEFENSE,2000,413080,NA,65237,NA,49543,32580,NA,NA,NA,NA,560440,NA,NA,13,NA
ALTUS AFB (OK),CBRNE DEFENSE,2001,406429,NA,54100,4745,NA,NA,NA,NA,NA,NA,465274,NA,NA,13,NA
ALTUS AFB (OK),CBRNE DEFENSE,2002,232409,NA,45472,4499,100616,70306,NA,NA,NA,NA,453302,NA,NA,8,NA
ALTUS AFB (OK),CBRNE DEFENSE,2003,353322,NA,149566,12906,-19230,-75909,NA,NA,NA,NA,438208,NA,NA,13,NA
ALTUS AFB (OK),CBRNE DEFENSE,2004,343857,NA,207020,10604,18058,3057,NA,NA,NA,NA,586603,NA,NA,17,NA
ALTUS AFB (OK),CBRNE DEFENSE,2005,307510,NA,30174,26506,5589,NA,NA,NA,NA,NA,371742,NA,NA,12,NA
ALTUS AFB (OK),CBRNE DEFENSE,2006,222715,NA,NA,NA,NA,NA,NA,NA,NA,NA,222715,NA,NA,23,NA
ALTUS AFB (OK),CBRNE DEFENSE,2007,221950,NA,25359,NA,456450,119410,NA,NA,NA,NA,823169,NA,NA,40,NA
ALTUS AFB (OK),CBRNE DEFENSE,2008,147098,NA,NA,NA,66758,NA,NA,NA,NA,NA,213856,NA,NA,15,NA
ALTUS AFB (OK),CBRNE DEFENSE,2009,365446,NA,89614,NA,NA,NA,NA,NA,NA,NA,455060,NA,NA,12,NA
ALTUS AFB (OK),CBRNE DEFENSE,2010,378896,NA,219526,NA,NA,NA,NA,NA,NA,NA,598422,NA,NA,14,NA
ALTUS AFB (OK),CBRNE DEFENSE,2011,388019,NA,66562,NA,NA,NA,NA,NA,NA,NA,454581,NA,NA,9,NA
ALTUS AFB (OK),CBRNE DEFENSE,2012,287435,NA,67726,NA,NA,NA,NA,NA,NA,NA,355161,NA,NA,6,NA
ALTUS AFB (OK),CBRNE DEFENSE,2013,370423,NA,NA,NA,NA,NA,NA,NA,NA,NA,370423,NA,NA,7,NA
ALTUS AFB (OK),CBRNE DEFENSE,2014,428114,NA,16385,NA,NA,NA,NA,NA,NA,NA,444499,NA,NA,8,NA
ALTUS AFB (OK),COUNTER-WMD PROG,2003,NA,NA,NA,-416,NA,NA,NA,NA,NA,NA,-416,NA,NA,NA,NA
ALTUS AFB (OK),COUNTER-WMD PROG,2006,NA,NA,NA,17281,2719,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA
ALTUS AFB (OK),CTR DRUG OPS,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65765,NA,NA,NA,NA
ALTUS AFB (OK),CYBER NETWORK,2000,NA,NA,263974,NA,NA,NA,NA,NA,NA,NA,263974,NA,NA,6,NA
ALTUS AFB (OK),CYBER NETWORK,2001,NA,NA,298433,NA,NA,NA,NA,NA,NA,NA,298433,NA,NA,6,NA
ALTUS AFB (OK),CYBER NETWORK,2002,NA,NA,473806,NA,NA,NA,NA,NA,NA,NA,473806,NA,NA,9,NA
ALTUS AFB (OK),CYBER NETWORK,2003,NA,NA,641783,NA,NA,NA,NA,NA,NA,NA,641783,NA,NA,11,NA
ALTUS AFB (OK),CYBER NETWORK,2004,NA,NA,964277,NA,NA,NA,NA,NA,NA,NA,964277,NA,NA,15,NA
ALTUS AFB (OK),CYBER NETWORK,2005,NA,NA,647612,NA,NA,NA,NA,NA,NA,NA,647612,NA,NA,11,NA
ALTUS AFB (OK),CYBER NETWORK,2006,NA,355417,333891,NA,NA,NA,NA,NA,NA,NA,689308,NA,NA,10,NA
ALTUS AFB (OK),CYBER NETWORK,2007,NA,57037,198775,NA,NA,NA,NA,NA,NA,NA,255812,NA,NA,4,NA
ALTUS AFB (OK),CYBER NETWORK,2008,NA,NA,97748,NA,NA,NA,NA,NA,NA,NA,97748,NA,NA,2,NA
ALTUS AFB (OK),DEPLOYABLE C3,2000,80811,NA,NA,NA,NA,NA,NA,NA,NA,NA,80811,NA,NA,1,NA
ALTUS AFB (OK),DEPLOYABLE C3,2001,116888,NA,NA,NA,NA,NA,NA,NA,NA,NA,116888,NA,NA,1,NA
ALTUS AFB (OK),DEPLOYABLE C3,2002,98151,NA,NA,NA,NA,NA,NA,NA,NA,NA,98151,NA,NA,1,NA
ALTUS AFB (OK),DEPLOYABLE C3,2003,132660,NA,NA,NA,NA,NA,NA,NA,NA,NA,132660,NA,NA,1,NA
ALTUS AFB (OK),DEPLOYABLE C3,2004,130248,NA,NA,NA,NA,NA,NA,NA,NA,NA,130248,NA,NA,1,NA
ALTUS AFB (OK),DEPLOYABLE C3,2005,30759,NA,NA,NA,NA,NA,NA,NA,NA,NA,30759,NA,NA,NA,NA
ALTUS AFB (OK),LONG- HAUL COMM,1996,NA,NA,120384,NA,NA,NA,NA,NA,NA,NA,120384,NA,NA,2,NA
ALTUS AFB (OK),LONG- HAUL COMM,1997,NA,NA,118214,NA,NA,NA,NA,NA,NA,NA,118214,NA,NA,2,NA
ALTUS AFB (OK),LONG- HAUL COMM,1998,NA,NA,85164,NA,NA,NA,NA,NA,NA,NA,85164,NA,NA,1,NA
ALTUS AFB (OK),LONG- HAUL COMM,1999,NA,NA,32055,NA,NA,NA,NA,NA,NA,NA,32055,NA,NA,1,NA
ALTUS AFB (OK),LONG- HAUL COMM,2000,NA,NA,63197,NA,NA,NA,NA,NA,NA,NA,63197,NA,NA,1,NA
ALTUS AFB (OK),LONG- HAUL COMM,2001,NA,NA,11108,NA,NA,NA,NA,NA,NA,NA,11108,NA,NA,NA,NA
ALTUS AFB (OK),RESERVE SPT,1998,89585,NA,NA,NA,NA,NA,NA,NA,NA,NA,89585,NA,NA,1,NA
ALTUS AFB (OK),RESERVE SPT,1999,211755,NA,NA,NA,NA,NA,NA,NA,NA,NA,211755,NA,NA,2,NA
ALTUS AFB (OK),RESERVE SPT,2000,209866,NA,NA,NA,NA,NA,NA,NA,NA,NA,209866,NA,NA,2,NA
ALTUS AFB (OK),RESERVE SPT,2001,206877,NA,NA,NA,NA,NA,NA,NA,NA,NA,206877,NA,NA,2,NA
ALTUS AFB (OK),RESERVE SPT,2002,157806,NA,NA,NA,NA,NA,NA,NA,NA,NA,157806,NA,NA,2,NA
ALTUS AFB (OK),RESERVE SPT,2003,159262,NA,NA,NA,NA,NA,NA,NA,NA,NA,159262,NA,NA,2,NA
ALTUS AFB (OK),RESERVE SPT,2004,88515,NA,NA,NA,NA,NA,NA,NA,NA,NA,88515,NA,NA,1,NA
ALTUS AFB (OK),RESERVE SPT,2005,88511,NA,NA,NA,NA,NA,NA,NA,NA,NA,88511,NA,NA,1,NA
ALTUS AFB (OK),RESERVE SPT,2006,44114,NA,NA,NA,NA,NA,NA,NA,NA,NA,44114,NA,NA,1,NA
ALTUS AFB (OK),RESERVE SPT,2007,66203,NA,NA,NA,NA,NA,NA,NA,NA,NA,66203,NA,NA,1,NA
ALTUS AFB (OK),RESERVE SPT,2013,99635,NA,NA,NA,NA,NA,NA,NA,NA,NA,99635,NA,NA,1,NA
ALTUS AFB (OK),RESERVE SPT,2014,98712,NA,NA,NA,NA,NA,NA,NA,NA,NA,98712,NA,NA,1,NA
ALTUS AFB (OK),SVC WIDE SPT,1999,NA,NA,60859,NA,NA,NA,NA,NA,NA,NA,60859,NA,NA,21,NA
ALTUS AFB (OK),SVC WIDE SPT,2000,NA,NA,86089,NA,NA,NA,NA,NA,NA,NA,86089,NA,NA,33,NA
ALTUS AFB (OK),SVC WIDE SPT,2001,NA,NA,89278,NA,NA,NA,NA,NA,NA,NA,89278,NA,NA,42,NA
ALTUS AFB (OK),SVC WIDE SPT,2002,NA,NA,94092,NA,NA,NA,NA,NA,NA,NA,94092,NA,NA,50,NA
ALTUS AFB (OK),SVC WIDE SPT,2003,NA,NA,88110,NA,NA,NA,NA,NA,NA,NA,88110,NA,NA,42,NA
ALTUS AFB (OK),SVC WIDE SPT,2004,NA,NA,170864,NA,NA,NA,NA,NA,NA,NA,170864,NA,NA,42,NA
ALTUS AFB (OK),SVC WIDE SPT,2005,NA,NA,280842,NA,NA,NA,NA,NA,NA,NA,280842,NA,NA,39,NA
ALTUS AFB (OK),SVC WIDE SPT,2006,NA,NA,245319,NA,NA,NA,NA,NA,NA,NA,245319,NA,NA,39,NA
ALTUS AFB (OK),SVC WIDE SPT,2007,NA,NA,165413,NA,NA,NA,NA,NA,NA,NA,165413,NA,NA,38,NA
ALTUS AFB (OK),SVC WIDE SPT,2008,NA,NA,69291,NA,NA,NA,NA,NA,NA,NA,69291,NA,NA,26,NA
